"No","Category","Item","What was wrong / what it is","Fix / What was built","Why","Files changed","Verified","Status","Screenshot Before","Screenshot After"
"1","Cart","Choose how many slot packs to buy","The cart showed a quantity but there was no way to change it — the number was read-only, so buying two Premium ad packs meant adding the same item twice.","A minus/plus stepper on each cart line, backed by a new PATCH /api/cart. The line total, the slot count and the order total all move as it changes, and it survives a reload.","Asked for directly: a way to set the quantity of slots from the cart.","componentss/cart/cart-item-row.tsx, app/api/cart/route.ts, lib/slot-count.ts","7/7 in the browser: 1 -> 3 slots EUR 100, 2 -> 6 slots EUR 200, 3 -> 9 slots EUR 300, back down, persisted","Done","docs/screenshots/before-cart-quantity.png","docs/screenshots/after-cart-quantity.png"
"2","Cart","MONEY BUG: paid for two packs, received one pack's slots","/api/cart/add already incremented quantity when the same pack was added twice, and the cart charged price x quantity — but provisioning read only the pack's own slot count. Two Premium ad packs took EUR 200 and granted 3 slots instead of 6. Nothing surfaced it: cart, order and PayPal charge were all correct; only the entitlement was short.","Fixed at the shared function so every payment rail is covered at once. The maths moved to lib/slot-count.ts, which imports nothing, so the guard script exercises the real function rather than a copy.","This was live and reachable without the new stepper — anyone clicking Add to cart twice hit it.","lib/provisioning.ts, lib/slot-count.ts, scripts/check-provisioning.mjs","15 assertions incl. junk input falling back to one slot, never zero","Done","docs/screenshots/before-cart-quantity.png","docs/screenshots/after-cart-quantity.png"
"3","Cart","Quantity cannot be used to reprice a cart","A new write endpoint on the cart is a way to change what is charged if it trusts the client.","Only the quantity is writable — the price stays whatever the server set when the item was added. The line is looked up scoped to the caller's own active cart, so another buyer's id is simply not found. Capped at 25 per line because provisioning writes one row per slot.","This is the money path.","app/api/cart/route.ts, lib/slot-count.ts","13/13 API assertions: validation, ownership, anonymous refused, client-sent price ignored, PayPal total tracks quantity","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"4","Seller portal","Time remaining on every paid placement card","Side banners had a countdown; ad and featured-asset cards showed only a Created date. So the one thing a seller needs to act on — that a placement is about to stop — was the one thing not on the card.","The existing pill was lifted into a shared component and used on all three, rather than writing a second and third copy that would drift. Under seven days it turns red — the same threshold the profile's 'expiring soon' banner uses, so the two can never disagree.","Asked for directly: show how long is left on each card.","componentss/profile/expiry-pill.tsx, app/(app)/profile/page.tsx, componentss/profile/side-banners-manager.tsx","Verified as a creator across ads, featured assets and side banners; 6d renders red, 13d/27d orange","Done","docs/screenshots/before-expiry-card.png","docs/screenshots/after-expiry-card.png"
"5","Seller portal","Countdown broke across three lines","On the one ad card that also shows clicks and views, the pill wrapped onto three lines. A countdown split over three lines is not a countdown.","The pill no longer wraps, and both card meta rows wrap as rows instead of crushing their children.","Found while verifying the feature, not reported.","componentss/profile/expiry-pill.tsx, app/(app)/profile/page.tsx","Measured every pill's rendered height: all single-line","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"6","Local test harness","Seeded ads had no end date, hiding the feature","The local seed created ads with no endDate, so every seeded ad card read 'no end date'. A real ad always inherits its slot's end date, so the harness disagreed with production — and would have hidden exactly this feature from anyone testing it.","Seeded dates now span the states worth seeing: 60d, 21d, 14d and 3d.","A harness that disagrees with production hides the bugs you built it to catch.","scripts/setup-pglite.ts","Reseeded and re-verified end to end","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"7","Coupons","FiveCrux's own coupon system, off Tebex","Coupons were handed to Tebex. The Apply button applied the code to a throwaway EMPTY basket just to hear whether Tebex liked it, and could not report the discount at all — the store required a buyer login before Tebex could price anything. The cart said 'PayPal shows the discounted total': the buyer had to commit to paying to learn what they saved.","Coupons are ours again and the amount is on screen before they commit. The scope and creator-ownership logic already existed in an orphaned file; rather than write a third implementation it is back in service as ONE validator used by both the Apply button and the PayPal order route.","Asked for directly: take the coupon system off Tebex and build our own, end to end.","lib/coupon-utils.ts, lib/cart-checkout-utils.ts, app/api/cart/coupon/route.ts, app/api/paypal/order/route.ts, componentss/cart/cart-checkout-panel.tsx","23 assertions against a real throwaway database, 10 live API, 7 in the browser","Done","docs/screenshots/before-coupon.png","docs/screenshots/after-coupon.png"
"8","Coupons","MONEY BUG: a single-use coupon was unlimited","Nothing ever wrote a coupon redemption or incremented usedCount — only the refund path decremented them. So maxUses and perUserLimit read counters that were permanently zero: a one-use coupon could be used any number of times, by everyone, forever.","Redemptions are now booked when the order is actually paid, idempotently, so a webhook retry cannot burn a second use.","Direct, unbounded loss with nothing in the product to signal it.","lib/cart-checkout-utils.ts, lib/provisioning.ts","Test proves the limits now trip: valid on first use, refused after one paid order, and a retry does not double-count","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"9","Creator codes","MONEY BUG: creators were paid nothing on PayPal sales","A creator code's redemption row is where the creator's COMMISSION is recorded, and it was only ever written inside the Tebex checkout's finalizeBasket. When payment moved to PayPal nothing took that over — so every PayPal sale through a creator code paid the creator zero.","The commission travels on the order payload and is booked when the order is paid. Deliberately the figure agreed when the order was PRICED, not recomputed at capture, which would silently pay a different rate if the code changed in between.","Found while fixing the identical hole in coupons — the same missing mechanism, one caller over.","lib/cart-checkout-utils.ts, lib/provisioning.ts, lib/tebex-checkout-flow.ts, app/api/paypal/order/route.ts","Test asserts the row is written, the commission lands on it, usedCount rises, and a retry pays once","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"10","Coupons","Coupon scope was not enforced","An 'Ad Slots' coupon could discount a featured-slot purchase sitting in the same cart, because nothing checked what the coupon was scoped to.","Scope matching is enforced, and a plain creator's coupon still cannot reach another seller's products or FiveCrux's own placements.","The scope field was authorable in the admin form and did nothing.","lib/coupon-utils.ts, lib/cart-checkout-utils.ts","Tested: 'Ad Slots' coupon discounts only the ad slot; refused on a cart with none","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"11","Coupons","A flat coupon now comes off once, not per line","Nothing defined how a flat 'EUR 10 off' should apply to a multi-item cart.","Off the matching subtotal ONCE — EUR 10 off a five-item cart is 10, not 50 — matching what FiveCrux's own code did before Tebex. Clamped to the subtotal so a large flat coupon cannot produce a negative charge.","Confirmed with the client before building.","lib/coupon-utils.ts","Tested including a coupon larger than the cart","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"12","Coupons","Coupon codes could be enumerated","An unknown code and a switched-off code returned different messages, so the endpoint could be used to discover which codes exist.","Both answer the same way.","Small, but it is a public endpoint with no rate limit in front of it.","lib/cart-checkout-utils.ts","Tested: identical response for both","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"13","Coupons","Removed the Tebex 'Coupon application rule' control","The admin form offered individual / basket_before_sales / basket_after_sales. It was a Tebex setting FiveCrux's own discount code never read, so all three options did exactly the same thing.","Control removed. The column stays (NOT NULL) so no migration is needed.","A control that promises behaviour it does not deliver is worse than no control.","app/(app)/profile/coupons/page.tsx","tsc + lint clean","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
